Sig.1	Sig.2	Sig.3	Sig.4	Sig.5	Sig.6	Sig.7	Sig.8	Sig.9	Sig.10	Sig.11	Sig.12	Sig.13	Sig.14	Sig.15	Sig.16	Sig.17	Sig.18	Sig.19	Sig.20	Sig.21	Sig.22	Sig.23	Sig.24	Sig.25	Sig.26	Sig.27	Sig.28	Sig.29	Sig.30
Sig.11	1.93892541597319	0.751199865993973	1.88229174167069	2.1202157259076	2.06377831324554	1.4505124292453	1.6413261682674	1.697195757299	1.84318809399179	1.67292068035677	0	1.51308392447422	1.61532271253564	1.53247481831018	1.71997464666771	1.61915823263507	1.59489068950324	1.56925455734872	1.76771192472081	1.4382976357023	1.24782070158483	1.35839597877517	0	1.4204378547327	1.71344720780338	1.41626127150228	1.49945933600147	1.42468044876332	1.54305075628866	1.90596971453004
Sig.12	1.41680843576772	0.936310538342546	0	1.45914101567194	1.14297449703488	1.71292261452781	0.893472127046058	1.48632718195649	1.67573444658986	1.42462403662162	1.16870358536013	0	1.22338831678414	1.60399066861404	1.70713970660974	1.27949285908858	1.56183636512997	1.41171599358887	1.43836145247001	1.49458042377013	1.85501242985331	1.22409642119257	1.21639048294036	1.49740890851751	1.5685279705735	1.92780267146216	1.35967204356857	1.61228910937524	1.35207525562119	1.82161557091719
Sig.13	1.39678805565645	0.956421376954985	1.54642597882297	1.65573927338621	1.46323687482274	1.75520328397715	1.89027124728853	1.86634770546616	1.73950647092624	1.06247779341452	1.44900501977697	1.71077371449674	0	1.48844609112876	1.46337285665563	1.50911797858366	1.38173549407726	1.23021409599131	1.38393518586837	1.52747848524756	1.58026770526384	1.39006686086839	1.20339871552448	1.29308567177233	1.39442756396171	1.37512786116207	1.22815395982853	1.4481569481358	1.64218644430962	1.54075495612714
Sig.14	1.64410961711503	0	1.72925248398382	1.98191217373326	2.03533962517256	1.25624353729192	1.0084043633292	1.73633485741566	1.45638957251949	1.38066971859312	1.03821076801759	1.34802728819385	2.1572785565641	0	1.24049355290174	1.81708872953989	1.44280512659328	1.63252801349117	1.46372146562028	1.48459650089346	1.40376921256016	1.40523436210463	0.954502155604645	1.52860660573747	1.76294348792284	1.48197091045954	1.31836074472778	1.50534319005502	1.64421657926995	1.5049268519601
Sig.15	0	0	1.54053451250455	1.78639010968182	1.32122663497232	1.46488767120291	1.07628013697174	1.44621212468906	1.02289714178326	1.09756969803799	1.24198917362019	1.47933092496545	0	1.63047632078606	0	1.49396988863503	1.24455408768258	1.32813383006325	1.52403582567665	1.66920478574571	1.41596765733216	1.19518289753046	1.36143137786986	1.33757522033682	1.59910172014304	1.10425526074132	1.23982694154166	1.12026831144152	1.37944906593123	1.40310435539749
Sig.16	1.05146565589469	0	0	0.964740353016203	0	1.45661379655048	0.723947727984019	0	1.29221521261456	1.30539082610583	0.952373353540309	1.89362481742333	0	1.21166628526073	1.39606470861422	0	1.17887079131288	1.20873534372088	1.29119804691509	1.48998664642323	1.77836708732919	1.27336524770825	1.03714941314411	1.20935222965311	1.60050984550018	1.97391707858377	1.1650635573133	1.13609164278305	1.35903666680564	1.3526527552048
Sig.17	0	0	1.62163376712342	1.55605703464478	1.47213622809115	1.20637193839679	1.02586721564861	1.5637624430448	1.43179455026142	0.877933192678962	0.935921918508163	1.39146383170728	0	1.14396561316235	1.15464613680769	1.64921143612698	0	1.39679070774161	1.48313878067946	1.36031760496414	1.51042806902588	1.2754613213258	1.25099053384969	1.46360135639787	1.8038685533511	1.40872414858615	1.34649676156291	1.88934578669987	1.3088727279388	1.55273120393795
Sig.18	1.36175457732943	0	1.5794338808178	1.30684308666406	1.40398161236743	1.52565351883689	1.28096525040746	1.19279306258393	1.35532925328516	0	1.11913692280499	1.45348940872963	0	0.86009760076947	0.916768388487404	1.43750348921488	1.44604355502748	0	1.43646744186356	1.52798601558221	1.35396866573096	1.25180711937228	1.1487335215903	1.79328299505337	1.61446151168815	1.42928976661309	1.38289821748104	1.48285125162853	1.83070989453517	1.58883900065499
Sig.19	0	0	0	1.23818955546916	0.610828002932297	1.0353423982092	1.20233750859086	0.784656248503907	0	0	1.21831812275074	1.06090023980109	0	1.09436301088987	0.673846853856916	0.698922335891955	0	0.864849850845074	0	1.47147705807836	1.27984611917859	0.974258344150414	1.31945741514612	1.26446269715353	1.17302260647222	1.30666202172582	1.18406367826622	1.08570993858313	1.21742388792742	1.47918162439308
Sig.20	1.62612982446827	0	1.20867341965153	1.31297860285085	1.44560764553943	1.08355926633942	1.219589951585	1.60406733771479	0	1.21544176441562	0.956466105563375	1.26110122482464	0	1.58425980466417	1.42221319666836	1.44001807370774	0	1.23887916605681	0.917695953796599	0	1.23562257883714	1.21060413360671	1.13557720751693	1.52550387435091	1.5139436438428	1.35062423725117	1.16261327397849	1.33461993807452	1.29331141490157	1.47478651349512
